Product Name,Price,Rating,Link,Image URL
"Samsung Galaxy M35 5G (Thunder Grey,8GB RAM,256GB Storage)| Corning Gorilla Glass Victus+| AnTuTu Score 595K+ | Vapour Cooling Chamber | 6000mAh Battery | 120Hz Super AMOLED Display| Without Charger","19,499",4.1 out of 5 stars,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMDgwMDA0MjUwNzY3NTMzOjE3Mzc4MTg4ODY6c3BfYXRmOjMwMDI2MTExMDgxMjMzMjo6MDo6&url=%2FSamsung-Thunder-Storage-Corning-Gorilla%2Fdp%2FB0D812G7FL%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.74RaObufa8w7J1x2GW0aCTNbx8kdgfd61Os9Myy1oakJQIEM2WXDWEjC_a0sECO2sHbeQrUTzwbSbmJ1AIlfkFslI10m_V0t-SB71Jjd06-GuDhxrn665p68QHMakmXNEtjIYkvMvuYz1NN2ArMFpEBnttWKjH7qOmQzu5DE7ndB5Z5nV1one7cZPHhfjs5JtTe3-Jnc34x4xILdVjR1kXoi-BpKUBp4fiTitSM-Iys.JpFcJPNz6uHo1UGqvm6n0puCfvNL-WkWdr2Jp0vRwPg%26dib_tag%3Dse%26keywords%3Dmobile%26qid%3D1737818886%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/8189mzscM6L._AC_UY218_.jpg
"iQOO Z9x 5G (Tornado Green, 6GB RAM, 128GB Storage) | Snapdragon 6 Gen 1 with 560k+ AnTuTu Score | 6000mAh Battery with 7.99mm Slim Design | 44W FlashCharge","13,499",4.2 out of 5 stars,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMDgwMDA0MjUwNzY3NTMzOjE3Mzc4MTg4ODY6c3BfYXRmOjMwMDE5MzUwNTg4ODUzMjo6MDo6&url=%2FiQOO-Tornado-Storage-Snapdragon-FlashCharge%2Fdp%2FB07WHQHNZC%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.74RaObufa8w7J1x2GW0aCTNbx8kdgfd61Os9Myy1oakJQIEM2WXDWEjC_a0sECO2sHbeQrUTzwbSbmJ1AIlfkFslI10m_V0t-SB71Jjd06-GuDhxrn665p68QHMakmXNEtjIYkvMvuYz1NN2ArMFpEBnttWKjH7qOmQzu5DE7ndB5Z5nV1one7cZPHhfjs5JtTe3-Jnc34x4xILdVjR1kXoi-BpKUBp4fiTitSM-Iys.JpFcJPNz6uHo1UGqvm6n0puCfvNL-WkWdr2Jp0vRwPg%26dib_tag%3Dse%26keywords%3Dmobile%26qid%3D1737818886%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/61wHkeTOhWL._AC_UY218_.jpg
"Samsung Galaxy M05 (Mint Green, 4GB RAM, 64 GB Storage) | 50MP Dual Camera | Bigger 6.7"" HD+ Display | 5000mAh Battery | 25W Fast Charging | 2 Gen OS Upgrade & 4 Year Security Update | Without Charger","6,499",3.9 out of 5 stars,https://www.amazon.in/Samsung-Storage-Display-Charging-Security/dp/B0DFY3XCB6/ref=sr_1_3?dib=eyJ2IjoiMSJ9.74RaObufa8w7J1x2GW0aCTNbx8kdgfd61Os9Myy1oakJQIEM2WXDWEjC_a0sECO2sHbeQrUTzwbSbmJ1AIlfkFslI10m_V0t-SB71Jjd06-GuDhxrn665p68QHMakmXNEtjIYkvMvuYz1NN2ArMFpEBnttWKjH7qOmQzu5DE7ndB5Z5nV1one7cZPHhfjs5JtTe3-Jnc34x4xILdVjR1kXoi-BpKUBp4fiTitSM-Iys.JpFcJPNz6uHo1UGqvm6n0puCfvNL-WkWdr2Jp0vRwPg&dib_tag=se&keywords=mobile&qid=1737818886&sr=8-3,https://m.media-amazon.com/images/I/81T3olLXpUL._AC_UY218_.jpg
POCO C61 Ethereal Blue 4GB RAM 64GB ROM,"5,999",3.8 out of 5 stars,https://www.amazon.in/POCO-C61-Ethereal-Blue-64GB/dp/B0CYBLHZPW/ref=sr_1_4?dib=eyJ2IjoiMSJ9.74RaObufa8w7J1x2GW0aCTNbx8kdgfd61Os9Myy1oakJQIEM2WXDWEjC_a0sECO2sHbeQrUTzwbSbmJ1AIlfkFslI10m_V0t-SB71Jjd06-GuDhxrn665p68QHMakmXNEtjIYkvMvuYz1NN2ArMFpEBnttWKjH7qOmQzu5DE7ndB5Z5nV1one7cZPHhfjs5JtTe3-Jnc34x4xILdVjR1kXoi-BpKUBp4fiTitSM-Iys.JpFcJPNz6uHo1UGqvm6n0puCfvNL-WkWdr2Jp0vRwPg&dib_tag=se&keywords=mobile&qid=1737818886&sr=8-4,https://m.media-amazon.com/images/I/712tqhtIw1L._AC_UY218_.jpg
"Samsung Galaxy M15 5G Prime Edition (Stone Grey,6GB RAM,128GB Storage)| Super AMOLED Display| 50MP Triple Cam| 6000mAh Battery| MediaTek Dimensity 6100+| 4 Gen. OS Upgrade & 5 Year Security Update","12,499",4.0 out of 5 stars,https://www.amazon.in/Samsung-Storage-MediaTek-Dimensity-Security/dp/B0DGXBSYHS/ref=sr_1_5?dib=eyJ2IjoiMSJ9.74RaObufa8w7J1x2GW0aCTNbx8kdgfd61Os9Myy1oakJQIEM2WXDWEjC_a0sECO2sHbeQrUTzwbSbmJ1AIlfkFslI10m_V0t-SB71Jjd06-GuDhxrn665p68QHMakmXNEtjIYkvMvuYz1NN2ArMFpEBnttWKjH7qOmQzu5DE7ndB5Z5nV1one7cZPHhfjs5JtTe3-Jnc34x4xILdVjR1kXoi-BpKUBp4fiTitSM-Iys.JpFcJPNz6uHo1UGqvm6n0puCfvNL-WkWdr2Jp0vRwPg&dib_tag=se&keywords=mobile&qid=1737818886&sr=8-5,https://m.media-amazon.com/images/I/81oKOk65TgL._AC_UY218_.jpg
"realme NARZO N61 (Voyage Blue,6GB RAM+128GB Storage) 90Hz Eye Comfort Display | IP54 Dust & Water Resistance | 48-Month Fluency | Charger in The Box","8,498",4.0 out of 5 stars,https://www.amazon.in/realme-Storage-Comfort-Resistance-48-Month/dp/B0D947DTLT/ref=sr_1_6?dib=eyJ2IjoiMSJ9.74RaObufa8w7J1x2GW0aCTNbx8kdgfd61Os9Myy1oakJQIEM2WXDWEjC_a0sECO2sHbeQrUTzwbSbmJ1AIlfkFslI10m_V0t-SB71Jjd06-GuDhxrn665p68QHMakmXNEtjIYkvMvuYz1NN2ArMFpEBnttWKjH7qOmQzu5DE7ndB5Z5nV1one7cZPHhfjs5JtTe3-Jnc34x4xILdVjR1kXoi-BpKUBp4fiTitSM-Iys.JpFcJPNz6uHo1UGqvm6n0puCfvNL-WkWdr2Jp0vRwPg&dib_tag=se&keywords=mobile&qid=1737818886&sr=8-6,https://m.media-amazon.com/images/I/71r0Ysx+oVL._AC_UY218_.jpg
"Redmi A4 5G (Sparkle Purple, 4GB RAM, 64GB Storage) | Global Debut SD 4s Gen 2 | Segment Largest 6.88in 120Hz | 50MP Dual Camera | 18W Fast Charging","8,299",4.0 out of 5 stars,https://www.amazon.in/Redmi-Sparkle-Storage-Segment-Charging/dp/B0DLW427YG/ref=sr_1_7?dib=eyJ2IjoiMSJ9.74RaObufa8w7J1x2GW0aCTNbx8kdgfd61Os9Myy1oakJQIEM2WXDWEjC_a0sECO2sHbeQrUTzwbSbmJ1AIlfkFslI10m_V0t-SB71Jjd06-GuDhxrn665p68QHMakmXNEtjIYkvMvuYz1NN2ArMFpEBnttWKjH7qOmQzu5DE7ndB5Z5nV1one7cZPHhfjs5JtTe3-Jnc34x4xILdVjR1kXoi-BpKUBp4fiTitSM-Iys.JpFcJPNz6uHo1UGqvm6n0puCfvNL-WkWdr2Jp0vRwPg&dib_tag=se&keywords=mobile&qid=1737818886&sr=8-7,https://m.media-amazon.com/images/I/81BGKLI+cWL._AC_UY218_.jpg
"realme NARZO 70x 5G (Ice Blue, 6GB RAM,128GB Storage)|120Hz Ultra Smooth Display|Dimensity 6100+ 6nm 5G|50MP AI Camera|45W Charger in The Box","13,499",4.1 out of 5 stars,https://www.amazon.in/realme-Storage-Display-Dimensity-Charger/dp/B0CZS3B3PY/ref=sr_1_8?dib=eyJ2IjoiMSJ9.74RaObufa8w7J1x2GW0aCTNbx8kdgfd61Os9Myy1oakJQIEM2WXDWEjC_a0sECO2sHbeQrUTzwbSbmJ1AIlfkFslI10m_V0t-SB71Jjd06-GuDhxrn665p68QHMakmXNEtjIYkvMvuYz1NN2ArMFpEBnttWKjH7qOmQzu5DE7ndB5Z5nV1one7cZPHhfjs5JtTe3-Jnc34x4xILdVjR1kXoi-BpKUBp4fiTitSM-Iys.JpFcJPNz6uHo1UGqvm6n0puCfvNL-WkWdr2Jp0vRwPg&dib_tag=se&keywords=mobile&qid=1737818886&sr=8-8,https://m.media-amazon.com/images/I/71w-mmKgIfL._AC_UY218_.jpg
"iQOO Z9x 5G (Tornado Green, 6GB RAM, 128GB Storage) | Snapdragon 6 Gen 1 with 560k+ AnTuTu Score | 6000mAh Battery with 7.99mm Slim Design | 44W FlashCharge","13,499",4.2 out of 5 stars,https://www.amazon.in/iQOO-Tornado-Storage-Snapdragon-FlashCharge/dp/B07WHQHNZC/ref=sr_1_9?dib=eyJ2IjoiMSJ9.74RaObufa8w7J1x2GW0aCTNbx8kdgfd61Os9Myy1oakJQIEM2WXDWEjC_a0sECO2sHbeQrUTzwbSbmJ1AIlfkFslI10m_V0t-SB71Jjd06-GuDhxrn665p68QHMakmXNEtjIYkvMvuYz1NN2ArMFpEBnttWKjH7qOmQzu5DE7ndB5Z5nV1one7cZPHhfjs5JtTe3-Jnc34x4xILdVjR1kXoi-BpKUBp4fiTitSM-Iys.JpFcJPNz6uHo1UGqvm6n0puCfvNL-WkWdr2Jp0vRwPg&dib_tag=se&keywords=mobile&qid=1737818886&sr=8-9,https://m.media-amazon.com/images/I/61wHkeTOhWL._AC_UY218_.jpg
"Redmi A3X (Midnight Black, 64 GB) (4 GB RAM)","6,258",4.2 out of 5 stars,https://www.amazon.in/Redmi-A3X-Midnight-Black-RAM/dp/B0DN1XC123/ref=sr_1_10?dib=eyJ2IjoiMSJ9.74RaObufa8w7J1x2GW0aCTNbx8kdgfd61Os9Myy1oakJQIEM2WXDWEjC_a0sECO2sHbeQrUTzwbSbmJ1AIlfkFslI10m_V0t-SB71Jjd06-GuDhxrn665p68QHMakmXNEtjIYkvMvuYz1NN2ArMFpEBnttWKjH7qOmQzu5DE7ndB5Z5nV1one7cZPHhfjs5JtTe3-Jnc34x4xILdVjR1kXoi-BpKUBp4fiTitSM-Iys.JpFcJPNz6uHo1UGqvm6n0puCfvNL-WkWdr2Jp0vRwPg&dib_tag=se&keywords=mobile&qid=1737818886&sr=8-10,https://m.media-amazon.com/images/I/61uSijATchL._AC_UY218_.jpg
